REGION;COMUNA;Destino;TipoVehiculo;Catalitico;NoCatalitico
3;3202;2.0;5.0;1.0;0.0
3;3202;2.0;6.0;0.0;0.0
3;3202;2.0;7.0;29.0;1.0
3;3202;2.0;8.0;0.0;0.0
3;3202;2.0;9.0;0.0;0.0
3;3202;3.0;1.0;125.0;10.0
3;3202;3.0;2.0;18.0;1.0
3;3202;3.0;3.0;0.0;0.0
3;3202;3.0;4.0;0.0;0.0
3;3202;3.0;5.0;0.0;0.0
3;3202;3.0;6.0;8.0;0.0
3;3202;3.0;7.0;0.0;0.0
3;3301;1.0;1.0;5180.0;355.0
3;3301;1.0;2.0;2153.0;51.0
3;3301;1.0;3.0;315.0;100.0
3;3301;1.0;4.0;214.0;46.0
3;3301;1.0;5.0;3.0;0.0
3;3301;1.0;6.0;154.0;3.0
3;3301;1.0;7.0;3176.0;398.0
3;3301;1.0;8.0;261.0;4.0
3;3301;1.0;9.0;0.0;0.0
3;3301;2.0;1.0;45.0;0.0
3;3301;2.0;2.0;429.0;0.0
3;3301;2.0;3.0;10.0;0.0
3;3301;2.0;4.0;12.0;0.0
3;3301;2.0;5.0;32.0;0.0
3;3301;2.0;6.0;0.0;0.0
3;3301;2.0;7.0;70.0;0.0
3;3301;2.0;8.0;13.0;3.0
3;3301;2.0;9.0;0.0;0.0
3;3301;3.0;1.0;495.0;66.0
3;3301;3.0;2.0;55.0;3.0
3;3301;3.0;3.0;0.0;0.0
3;3301;3.0;4.0;0.0;0.0
3;3301;3.0;5.0;6.0;0.0
3;3301;3.0;6.0;66.0;3.0
3;3301;3.0;7.0;0.0;0.0
3;3302;1.0;1.0;453.0;45.0
3;3302;1.0;2.0;195.0;8.0
3;3302;1.0;3.0;76.0;17.0
3;3302;1.0;4.0;64.0;8.0
3;3302;1.0;5.0;2.0;0.0
3;3302;1.0;6.0;28.0;0.0
3;3302;1.0;7.0;841.0;71.0
3;3302;1.0;8.0;68.0;0.0
3;3302;1.0;9.0;0.0;0.0
3;3302;2.0;1.0;3.0;0.0
3;3302;2.0;2.0;3.0;0.0
3;3302;2.0;3.0;2.0;0.0
3;3302;2.0;4.0;13.0;0.0
3;3302;2.0;5.0;2.0;0.0
3;3302;2.0;6.0;0.0;0.0
3;3302;2.0;7.0;74.0;1.0
3;3302;2.0;8.0;0.0;0.0
3;3302;2.0;9.0;0.0;0.0
3;3302;3.0;1.0;165.0;17.0
3;3302;3.0;2.0;530.0;1.0
3;3302;3.0;3.0;1.0;0.0
3;3302;3.0;4.0;0.0;0.0
3;3302;3.0;5.0;53.0;1.0
3;3302;3.0;6.0;65.0;3.0
3;3302;3.0;7.0;0.0;0.0
3;3303;1.0;1.0;442.0;30.0
3;3303;1.0;2.0;145.0;2.0
3;3303;1.0;3.0;66.0;7.0
3;3303;1.0;4.0;29.0;3.0
3;3303;1.0;5.0;1.0;0.0
3;3303;1.0;6.0;13.0;0.0
3;3303;1.0;7.0;433.0;43.0
3;3303;1.0;8.0;12.0;0.0
3;3303;1.0;9.0;0.0;0.0
3;3303;2.0;1.0;0.0;0.0
3;3303;2.0;2.0;4.0;0.0
3;3303;2.0;3.0;0.0;0.0
3;3303;2.0;4.0;2.0;0.0
3;3303;2.0;5.0;1.0;0.0
3;3303;2.0;6.0;0.0;0.0
3;3303;2.0;7.0;0.0;0.0
3;3303;2.0;8.0;8.0;0.0
3;3303;2.0;9.0;0.0;0.0
3;3303;3.0;1.0;27.0;7.0
3;3303;3.0;2.0;14.0;0.0
3;3303;3.0;3.0;29.0;2.0
3;3303;3.0;4.0;0.0;0.0
3;3303;3.0;5.0;0.0;0.0
3;3303;3.0;6.0;2.0;0.0
3;3303;3.0;7.0;0.0;0.0
3;3304;1.0;1.0;958.0;46.0
3;3304;1.0;2.0;449.0;11.0
3;3304;1.0;3.0;81.0;24.0
3;3304;1.0;4.0;67.0;5.0
3;3304;1.0;5.0;0.0;0.0
3;3304;1.0;6.0;50.0;1.0
3;3304;1.0;7.0;711.0;45.0
